date,temp,prec,hum
5/5/1967 0:00,6.7,0,93
5/6/1967 0:00,7.9,18.3,88
5/7/1967 0:00,8.8,1.9,87
5/8/1967 0:00,6.8,13.8,97
5/9/1967 0:00,5.9,0,88
5/10/1967 0:00,4.8,0,95
5/11/1967 0:00,6.6,1.2,86
5/12/1967 0:00,7.4,0,77
5/13/1967 0:00,14.1,0,52
5/14/1967 0:00,16.4,0.1,60
5/15/1967 0:00,10.4,0,87
5/16/1967 0:00,13.3,6.1,84
5/17/1967 0:00,9.6,0,81
5/18/1967 0:00,15.4,6.7,74
5/19/1967 0:00,8.4,2.6,71
5/20/1967 0:00,9.7,0,52
5/21/1967 0:00,11,0,67
5/22/1967 0:00,9.2,0,74
5/23/1967 0:00,13.6,0,62
5/24/1967 0:00,15.8,3.8,77
5/25/1967 0:00,13.4,1.3,90
5/26/1967 0:00,13.2,2.8,91
5/27/1967 0:00,13.5,2.9,87
5/28/1967 0:00,14.6,0,61
5/29/1967 0:00,13.8,0,60
5/30/1967 0:00,13.2,0,63
5/31/1967 0:00,14,0,59
6/1/1967 0:00,14.2,0.1,74
6/2/1967 0:00,15,0,61
6/3/1967 0:00,12.6,0,66
6/4/1967 0:00,12.3,0.1,75
6/5/1967 0:00,11.8,2.5,84
6/6/1967 0:00,10.5,0.8,78
6/7/1967 0:00,12.4,1.2,80
6/8/1967 0:00,12.6,3.9,77
6/9/1967 0:00,10.9,0,79
6/10/1967 0:00,9.6,0,72
6/11/1967 0:00,11.5,6.1,87
6/12/1967 0:00,9.3,0.6,89
6/13/1967 0:00,8.1,0.4,88
6/14/1967 0:00,10.3,0,88
6/15/1967 0:00,12.1,0,81
6/16/1967 0:00,14.1,0,74
6/17/1967 0:00,13.7,0,68
6/18/1967 0:00,14.5,0,73
6/19/1967 0:00,13.8,0,73
6/20/1967 0:00,16.5,0,65
6/21/1967 0:00,17.5,3.8,72
6/22/1967 0:00,14.3,2.2,84
6/23/1967 0:00,14.7,6,74
6/24/1967 0:00,12.8,0,73
6/25/1967 0:00,12.6,0,66
6/26/1967 0:00,17.9,0,70
6/27/1967 0:00,16.6,0,73
6/28/1967 0:00,14.2,35.5,88
6/29/1967 0:00,15.4,0.4,82
6/30/1967 0:00,15.8,1.6,74
7/1/1967 0:00,14.3,0,76
7/2/1967 0:00,15,0,71
7/3/1967 0:00,16.9,0,67
7/4/1967 0:00,18.2,6.5,73
7/5/1967 0:00,15,0,77
